epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,8625.77,1.08982,0.84516,0.87318,0.73242,0.45009,0.53302,0.38138,1.0617,0.88163,0.87119,0.00618034,0.00618034,0.00618034
66,8751.49,1.08291,0.84586,0.86937,0.74768,0.45238,0.53402,0.3827,1.06173,0.88129,0.87147,0.00607916,0.00607916,0.00607916
67,8878.96,1.07796,0.82916,0.86558,0.75581,0.45195,0.53522,0.38306,1.05975,0.87809,0.87094,0.00597754,0.00597754,0.00597754
68,9006.57,1.07235,0.82387,0.86482,0.75317,0.45189,0.53606,0.38426,1.05736,0.87364,0.87077,0.00587551,0.00587551,0.00587551
69,9133.84,1.0722,0.82464,0.86825,0.6947,0.46672,0.53783,0.38541,1.05702,0.87056,0.87091,0.00577311,0.00577311,0.00577311
70,9261.3,1.07954,0.83219,0.86279,0.75458,0.44892,0.5365,0.38491,1.05523,0.86685,0.87033,0.0056704,0.0056704,0.0056704
71,9388.49,1.07262,0.82345,0.86934,0.70571,0.46906,0.538,0.38536,1.05522,0.86688,0.87027,0.00556742,0.00556742,0.00556742
72,9515.56,1.06989,0.82247,0.86278,0.69772,0.47518,0.53817,0.38497,1.05437,0.86722,0.87005,0.00546421,0.00546421,0.00546421
73,9643.59,1.06795,0.81789,0.86661,0.71799,0.46763,0.5374,0.38475,1.05362,0.86681,0.87009,0.00536081,0.00536081,0.00536081
74,9770.84,1.05682,0.81096,0.86077,0.7284,0.4655,0.53836,0.38431,1.05461,0.86589,0.86996,0.00525728,0.00525728,0.00525728
75,9898.43,1.05186,0.80217,0.86413,0.72523,0.46642,0.53916,0.38529,1.05356,0.86504,0.87012,0.00515366,0.00515366,0.00515366
76,10026.6,1.04964,0.80017,0.86391,0.7099,0.47207,0.53875,0.38548,1.05383,0.86501,0.8701,0.00505,0.00505,0.00505
77,10154.5,1.04962,0.79275,0.86323,0.70517,0.4741,0.53911,0.38551,1.0544,0.86447,0.87006,0.00494634,0.00494634,0.00494634
78,10283.1,1.055,0.80048,0.86254,0.72811,0.46793,0.53974,0.38579,1.05463,0.86297,0.87006,0.00484272,0.00484272,0.00484272
79,10412.8,1.04961,0.79426,0.86129,0.72741,0.46921,0.54044,0.3864,1.05395,0.86224,0.86995,0.00473919,0.00473919,0.00473919
