epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
55,21548.8,1.38946,1.90078,0.85613,0.3674,0.29322,0.27813,0.19828,1.26346,1.59766,0.8403,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,21917.5,1.39194,1.90492,0.8538,0.36891,0.29217,0.27893,0.19887,1.26403,1.5967,0.84036,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,22288.2,1.39139,1.88893,0.85487,0.37346,0.29285,0.27932,0.19923,1.26266,1.59544,0.84048,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,22654.2,1.38169,1.89021,0.85232,0.3762,0.291,0.28007,0.19984,1.2617,1.59316,0.84052,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,23025.2,1.38145,1.89457,0.85674,0.37873,0.29157,0.28017,0.19957,1.26151,1.59151,0.84042,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,23392.7,1.38186,1.88755,0.85485,0.38301,0.2915,0.28082,0.20015,1.26032,1.58998,0.84027,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,23760,1.37283,1.88142,0.85128,0.37817,0.29147,0.28126,0.20045,1.25896,1.58816,0.84006,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,24127.6,1.3817,1.88152,0.85539,0.37479,0.29319,0.28099,0.20012,1.25846,1.58685,0.84,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,24494.3,1.35966,1.86046,0.85005,0.37536,0.29346,0.2812,0.2002,1.25794,1.58483,0.83978,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,24858.8,1.37335,1.86156,0.85342,0.3724,0.29472,0.28201,0.201,1.25637,1.58375,0.8396,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,25226.4,1.36958,1.86306,0.85058,0.37204,0.29302,0.28266,0.20142,1.25571,1.58277,0.83968,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,25593.2,1.37093,1.86138,0.85181,0.37441,0.29324,0.28325,0.20189,1.25366,1.58041,0.83957,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,25957.7,1.36687,1.86678,0.85012,0.37655,0.29211,0.28353,0.20194,1.25279,1.57913,0.83945,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,26324.2,1.36492,1.85805,0.84893,0.37715,0.29391,0.28387,0.20243,1.25148,1.57767,0.83927,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,26693.3,1.37335,1.85338,0.84911,0.37624,0.29274,0.28409,0.20265,1.25145,1.57619,0.83914,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,27063,1.35867,1.83377,0.85029,0.37745,0.29263,0.28447,0.20288,1.25029,1.57505,0.8391,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,27430.4,1.37267,1.85083,0.84838,0.37858,0.29465,0.2851,0.20336,1.24992,1.57423,0.83899,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,27797.8,1.36163,1.83232,0.84888,0.37783,0.29393,0.28527,0.20364,1.24837,1.57291,0.839,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,28164,1.35737,1.84401,0.8484,0.37915,0.29419,0.28593,0.20401,1.24772,1.57202,0.83863,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,28530.3,1.35772,1.82984,0.84828,0.38404,0.29372,0.28716,0.20493,1.24645,1.57087,0.83861,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,28895.3,1.3478,1.81415,0.84777,0.38615,0.2957,0.28756,0.2053,1.24606,1.57085,0.83875,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,29263.2,1.35164,1.81915,0.84708,0.38631,0.29489,0.28774,0.20566,1.24459,1.56955,0.83873,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,29631.9,1.34526,1.81391,0.84599,0.38482,0.29566,0.28806,0.20578,1.2439,1.56938,0.83874,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,30000.3,1.35294,1.81416,0.84841,0.38552,0.29542,0.28818,0.20656,1.24219,1.56747,0.83833,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,30366,1.35875,1.81641,0.84644,0.38512,0.29714,0.28971,0.20739,1.24054,1.56516,0.83806,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,30731.3,1.34956,1.80379,0.84663,0.38498,0.2975,0.28918,0.20712,1.23941,1.56369,0.83775,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,31097.9,1.34673,1.79527,0.84725,0.38517,0.29922,0.29063,0.20835,1.2388,1.5618,0.83747,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,31466.1,1.34914,1.80416,0.84649,0.39055,0.29736,0.29136,0.20888,1.23725,1.55981,0.83721,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,31831.8,1.34209,1.78689,0.84602,0.39042,0.29758,0.29132,0.20881,1.23581,1.55787,0.83694,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,32199.2,1.3394,1.78635,0.84753,0.38898,0.29705,0.29195,0.20922,1.23379,1.5565,0.83662,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,32565,1.34233,1.78896,0.84712,0.38694,0.2971,0.29256,0.20974,1.23243,1.55472,0.83642,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,32933.5,1.34145,1.7808,0.84392,0.38576,0.2975,0.29255,0.21001,1.23082,1.55315,0.83625,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,33301.5,1.34331,1.77925,0.84826,0.38487,0.29834,0.29318,0.21019,1.23031,1.55188,0.83619,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,33671.1,1.34271,1.7787,0.84484,0.38112,0.30131,0.29349,0.21065,1.22927,1.55109,0.83608,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,34039.7,1.32666,1.76872,0.84369,0.38424,0.30043,0.29387,0.21107,1.22739,1.54916,0.83578,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,34407,1.33374,1.77076,0.84535,0.38437,0.30095,0.29458,0.21171,1.22587,1.54772,0.83561,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,34776.3,1.32707,1.7607,0.84509,0.38738,0.30045,0.29609,0.2129,1.22487,1.5459,0.83537,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
