epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,4947.48,1.2081,1.06248,0.8957,0.56153,0.37839,0.42255,0.29565,1.17876,1.08557,0.89383,0.0056704,0.0056704,0.0056704
71,5026.59,1.21672,1.05424,0.89335,0.56436,0.37847,0.42308,0.29704,1.17694,1.08459,0.89347,0.00556742,0.00556742,0.00556742
72,5106.04,1.20391,1.04962,0.90178,0.56271,0.37846,0.42416,0.29813,1.17612,1.08313,0.89307,0.00546421,0.00546421,0.00546421
73,5185.11,1.20642,1.04187,0.89638,0.55668,0.37845,0.42466,0.29804,1.17459,1.08013,0.89261,0.00536081,0.00536081,0.00536081
74,5264.51,1.19927,1.04539,0.89375,0.57213,0.37433,0.426,0.29796,1.173,1.07853,0.89208,0.00525728,0.00525728,0.00525728
75,5344.19,1.19286,1.02753,0.88779,0.56343,0.37999,0.42689,0.29951,1.1726,1.07778,0.89198,0.00515366,0.00515366,0.00515366
76,5423.77,1.18611,1.02009,0.88658,0.56814,0.37893,0.42614,0.29875,1.17214,1.0783,0.89183,0.00505,0.00505,0.00505
77,5502.74,1.18704,1.01635,0.89053,0.57079,0.37731,0.42581,0.29766,1.1716,1.07804,0.89173,0.00494634,0.00494634,0.00494634
78,5582.27,1.19936,1.0274,0.88578,0.57123,0.37741,0.42672,0.29814,1.17079,1.07679,0.89144,0.00484272,0.00484272,0.00484272
79,5661.83,1.19075,1.01285,0.8932,0.5717,0.37715,0.42756,0.29943,1.1701,1.07604,0.89128,0.00473919,0.00473919,0.00473919
80,5741.36,1.18915,1.0127,0.88672,0.56593,0.3827,0.42826,0.2998,1.17011,1.07546,0.89108,0.00463579,0.00463579,0.00463579
81,5820.79,1.18661,1.01554,0.88995,0.56871,0.38295,0.42833,0.29938,1.16985,1.07564,0.89098,0.00453258,0.00453258,0.00453258
82,5899.7,1.16987,0.99958,0.88249,0.58449,0.37733,0.42847,0.29924,1.16955,1.07566,0.89111,0.0044296,0.0044296,0.0044296
83,5979.35,1.16964,0.99218,0.88664,0.57524,0.37798,0.42723,0.299,1.16898,1.0748,0.891,0.00432689,0.00432689,0.00432689
84,6058.4,1.16468,0.98878,0.88646,0.58908,0.37871,0.4289,0.29987,1.16826,1.07452,0.89082,0.00422449,0.00422449,0.00422449
85,6137.75,1.16919,0.98796,0.88695,0.5921,0.37722,0.42914,0.30055,1.16706,1.07431,0.89066,0.00412246,0.00412246,0.00412246
86,6217.23,1.17581,0.99131,0.88459,0.5943,0.37672,0.42945,0.30126,1.16579,1.07251,0.89058,0.00402084,0.00402084,0.00402084
87,6296.62,1.16678,0.99437,0.88344,0.59804,0.37464,0.42969,0.30156,1.1654,1.07082,0.89042,0.00391966,0.00391966,0.00391966
